"1727232"	"434269"
"106224"	"434269"
"729324"	"434269"
"1753768"	"434269"
"8473036"	"434269"
"1407491"	"434269"
"1234924"	"434269"
"324584"	"434269"
"26210"	"434269"
"2689343"	"434269"
"870929"	"434269"
"1403638"	"434269"
"3828166"	"434269"
"1496567"	"434269"
"1427345"	"434269"
"904360"	"434269"
"2689343"	"434269"
"2109568"	"434269"
"1665955"	"434269"
"1386649"	"434269"
"2511140"	"434269"
"2304034"	"434269"
"2034876"	"434269"
"1813563"	"434269"
"655430"	"434269"
"341275"	"434269"
"3933332"	"4097626"
"3933332"	"3042117"
"3933332"	"3120665"
"3933332"	"1986818"
"3933332"	"3436467"
"3933332"	"4586728"
"3933332"	"3805018"
"3933332"	"4270833"
"3933332"	"3036943"
"3933332"	"2431414"
"3933332"	"3186701"
"3933332"	"4200311"
"7156607"	"773263"
"842050"	"773263"
"5778463"	"773263"
"user8140418"	"773263"
"1518921"	"773263"
"257493"	"773263"
"507674"	"773263"
"1150448"	"773263"
"1059477"	"773263"
"158014"	"773263"
"172588"	"773263"
"6550012"	"413225"
"2196608"	"413225"
"421223"	"413225"
"3143996"	"413225"
"1035030"	"413225"
"user8241064"	"413225"
"49478"	"413225"
"2167021"	"413225"
"758554"	"413225"
"206403"	"413225"
"2182710"	"398431"
"565956"	"398431"
"565339"	"398431"
"397816"	"398431"
"4831515"	"398431"
"631764"	"398431"
"216214"	"398431"
"501165"	"398431"
"253059"	"398431"
"106463"	"398431"
"8221084"	"455676"
"3840799"	"455676"
"1332569"	"455676"
"465738"	"455676"
"824984"	"455676"
"364868"	"455676"
"20128"	"455676"
"300873"	"455676"
"227665"	"455676"
"398519"	"455676"
"6110451"	"732825"
"5240569"	"732825"
"247372"	"732825"
"88487"	"732825"
"468027"	"732825"
"385378"	"732825"
"345031"	"732825"
"729539"	"732825"
"273141"	"732825"
"215966"	"732825"
"1491895"	"9772227"
"1491895"	"3560705"
"1491895"	"1775416"
"1491895"	"2356951"
"1491895"	"4497203"
"1491895"	"1143597"
"1491895"	"2861244"
"1491895"	"1730622"
"1491895"	"1545622"
"476"	"2451357"
"476"	"3800879"
"476"	"1477313"
"476"	"1254256"
"476"	"3783161"
"476"	"677756"
"476"	"511488"
"476"	"277304"
"476"	"569403"
"250259"	"4535540"
"250259"	"1283970"
"250259"	"119540"
"250259"	"3605495"
"250259"	"3476944"
"250259"	"3112869"
"250259"	"2452442"
"250259"	"1346673"
"250259"	"1008869"
"11886417"	"181691"
"646056"	"181691"
"2990820"	"181691"
"607332"	"181691"
"548225"	"181691"
"447979"	"181691"
"514582"	"181691"
"353790"	"181691"
"98378"	"127212"
"80836"	"127212"
"88383"	"127212"
"123415"	"127212"
"665771"	"127212"
"742249"	"127212"
"31039"	"127212"
"74314"	"127212"
"1634524"	"569403"
"33522"	"569403"
"327862"	"569403"
"421223"	"569403"
"543296"	"569403"
"701243"	"569403"
"533611"	"569403"
"476"	"569403"
"3160747"	"4639383"
"1338292"	"3160747"
"3355051"	"3160747"
"3709765"	"3160747"
"2899618"	"3160747"
"3859027"	"3160747"
"1230257"	"3160747"
"83916"	"83916"
"186558"	"83916"
"20572"	"83916"
"188336"	"83916"
"192741"	"83916"
"83916"	"83916"
"11354"	"83916"
"4012"	"83916"
"20972"	"83916"
"6559962"	"332726"
"2792592"	"332726"
"1304684"	"332726"
"332807"	"332726"
"243414"	"332726"
"219743"	"332726"
"262040"	"332726"
"3219608"	"5841824"
"6853387"	"5841824"
"1179287"	"5841824"
"4248328"	"5841824"
"5458806"	"5841824"
"user6533277"	"5841824"
"7171248"	"5841824"
"6308838"	"1477313"
"1196954"	"1477313"
"4969969"	"1477313"
"2257664"	"1477313"
"476"	"1477313"
"1147680"	"1477313"
"1545088"	"1477313"
"1155318"	"376947"
"515124"	"376947"
"619609"	"376947"
"451969"	"376947"
"511300"	"376947"
"508666"	"376947"
"396458"	"376947"
"1789515"	"1947848"
"3113862"	"1947848"
"2641232"	"1947848"
"1503018"	"1947848"
"1662383"	"1947848"
"1202487"	"1947848"
"426533"	"1947848"
